estados,costo_delito_personas_hogares,delitos_denunciados,delitos_no_denunciados,porcentaje_delitos_portacion_armas_ueco,porcentaje_hogares_victimas_delito,presunto_feminicidio_registrado,presunto_feminicidio_registrado_carpeta_cerrada,promedio_delitos_por_victima_18+,tasa_prevalencia_delictiva_18+
Aguascalientes,2987575642.0,45778.0,89.54,16.71,31.62,0.0,,1.08,27294.58
Baja California,9432247785.0,119353.0,91.17,63.97,28.96,0.0,0.0,1.16,27208.34
Baja California Sur,2259551288.0,15104.0,90.71,8.44,21.36,0.0,0.0,1.17,19002.89
Campeche,1958239965.0,17786.0,90.77,17.98,19.77,0.0,0.0,1.1,16891.09
Coahuila,4445202256.0,59245.0,93.16,22.41,24.31,0.0,0.0,1.21,20075.19
Colima,1999390325.0,18995.0,90.4,9.09,24.57,7.0,,1.24,21460.46
Chiapas,5947577625.0,84534.0,91.48,25.47,17.78,7.0,0.0,1.09,15153.49
Chihuahua,8555092365.0,75489.0,92.3,27.93,26.85,2.0,,1.11,23819.12
Ciudad de Mexico,28487934525.0,399437.0,92.2,21.4,37.32,7.0,0.0,1.25,32077.59
Durango,7341423530.6667,92857.8889,91.3033,23.7111,25.8378,2.5556,,1.1567,22553.6389
Guanajuato,11298333765.0,107159.0,94.48,24.12,30.19,0.0,0.0,1.18,25648.36
Guerrero,4673830168.0,38291.0,96.18,23.6,23.46,2.3232,0.0,1.43,18830.83
Hidalgo,6752907346.0,82644.0,92.27,29.91,19.21,3.0,0.0,1.34,15265.66
Jalisco,28693841439.0,166650.0,92.96,59.47,31.59,31.0,0.0,1.27,25222.82
Mexico,49893951924.0,619587.0,92.82,63.26,47.48,6.0,0.0,1.24,38252.78
Michoacan,9119001689.0,57334.0,94.44,28.41,16.88,4.0,0.0,1.28,14082.26
Morelos,5057870571.0,47609.0,92.95,68.18,29.16,128.0,0.0,1.42,22728.16
Nayarit,2088274262.0,17981.0,94.04,18.58,22.81,11.7576,,1.16,18539.33
Nuevo Leon,12596096699.0,104807.0,94.58,42.52,26.93,1.0,0.0,1.51,23106.4
Oaxaca,5223084470.0,41337.0,94.24,25.19,19.21,11.1914,,1.25,14960.76
Puebla,13102708913.0,153948.0,93.6,25.21,31.47,11.1914,,1.39,26138.6
Queretaro,5782641411.0,69009.0,91.78,60.68,32.47,3.0,0.0,1.23,26456.72
Quintana Roo,6775486228.0,53660.0,91.34,21.37,27.88,10.8191,0.0,1.34,23048.59
San Luis Potosi,4462927562.0,43239.0,96.31,25.83,26.19,10.8191,0.0,1.31,22467.23
Sinaloa,5259765193.0,31186.0,96.7,44.29,27.23,3.0,0.0,1.45,20679.74
Sonora,6476340647.0,59226.0,94.33,20.42,26.51,8.0,0.0,1.42,20896.74
Tabasco,6474173379.0,42787.0,94.41,28.99,32.46,3.0,0.0,1.33,26896.45
Tamaulipas,4920896959.0,49832.0,94.11,23.57,19.51,0.0,,1.27,16055.75
Tlaxcala,2309635527.0,29059.0,92.82,11.12,30.34,0.0,0.0,1.28,23675.98
Veracruz,11472405175.0,101202.0,93.24,60.92,18.65,28.0,,1.27,15653.55
Yucatan,3330358035.0,32719.0,94.77,3.12,21.53,10.0552,0.0,1.42,17442.23
Zacatecas,4535242586.0,23761.0,92.0,21.73,22.11,0.0,0.0,1.26,17901.31
